subject,predicate,object,doc_id,sentence
transportation sector,IS_LARGEST_SOURCE_OF,greenhouse gas emissions,doc_3,The transportation sector is the largest source of greenhouse gas emissions in the United States.
manufacturers of electric vehicles,OFFER,"8-year/100,000-mile battery warranties",doc_3,"Several manufacturers of electric vehicles are offering 8-year/100,000-mile battery warranties."
transportation sector,ACCOUNTS_FOR,approximately 30% of total U.S.,doc_3,The transportation sector accounts for approximately 30% of total U.S.
electric grid,IS_NEAR,most locations where people park,doc_3,All-electric vehicles and PHEVs have the benefit of flexible charging because the electric grid is near most locations where people park.
EV charging station,IS_NEEDED_TO_DELIVER,energy from the electric grid to a vehicle’s battery,doc_3,"To safely deliver energy from the electric grid to a vehicle’s battery, an EV charging station, sometimes referred to as electric vehicle supply equipment (EVSE), is needed."
EIA,HAS_OPEN_SOURCE_CODE,available on GitHub,doc_4,"EIA's open source code, available on GitHub."
EIA,PROVIDES_REPORTS,requested by congress,doc_4,Reports requested by congress or otherwise deemed important.
EIA,INCLUDES_ENERGY_SOURCES,"hydropower, solar, wind, geothermal, biomass and ethanol",doc_4,"Includes hydropower, solar, wind, geothermal, biomass and ethanol."
EIA,PROVIDES_FINANCIAL_ANALYSIS,financial data for major energy companies,doc_4,Financial market analysis and financial data for major energy companies.
EIA,PROVIDES_GREENHOUSE_GAS_DATA,electric power plant emissions,doc_4,"Greenhouse gas data, voluntary reporting, electric power plant emissions."
EIA,OFFERS_TOOLS,customize searches,doc_4,"Tools to customize searches, view specific data sets, study detailed documentation, and access time-series data."
Global penetration,IS_SEEN_RISING,13% this year from 12% in 2023,doc_5,Global penetration is seen rising to 13% this year from 12% in 2023.
U.S. EV adoption,LOOKS_LIKE,new sales penetration rising close to ~8%,doc_5,"In the U.S., on the surface it looks like EV adoption continued to progress, with new sales penetration rising close to ~8%."
Authors,FORECAST,1.47 million units of new EV sales in 2024,doc_5,"Applying the matrix to their 2024–25 EV sales forecasts, the authors forecast 1.47 million units of new EV sales, or 9.1% penetration in 2024."
Forecast for 2025,IS_FOR,"2.34 million units, or 13.8% penetration",doc_5,"For 2025, the forecast is for 2.34 million units, or 13.8% penetration."
U.S. electric vehicle investments,HAVE_GROWN_TO,$188 billion,doc_6,manufacturers have announced $188 billion in investments in electric vehicle and EV battery manufacturing in the U.S.
Georgia,LEADS_IN_EV_INVESTMENTS,$31.2 billion,doc_6,"Georgia continues to lead the states in both EV investments ($31.2 billion) and announced jobs (38,700)."
U.S. investments from 2016 to 2020,ARE_LESS_THAN,three times lower than recent investments,doc_6,are more than three times higher than U.S. investments from 2016 to 2020.
Environmental Defense Fund,IS_A,nonprofit organization,doc_6,"Environmental Defense Fund is a nonprofit, tax-exempt charitable organization under Section 501(c)(3) of the Internal Revenue Code."
Tesla’s Gigafactory,GRANTED,beneficial tax rate from the Shanghai government,doc_7,Tesla’s Gigafactory was granted a beneficial tax rate from the Shanghai government.
China,MADE,16 percent of batteries and vehicles sold in Europe in 2022,doc_7,16 percent of batteries and vehicles sold were made in China in 2022.
Thailand,WAS,the third largest recipient of Chinese EV exports by quantity in 2022,doc_7,Thailand was the third largest recipient of Chinese EV exports by quantity in 2022.
20 percent of electric car models,WERE,"priced at less than $15,000 in 2022 in China",doc_7,"as an example in 2022, 20 percent of electric car models on offer in China were priced at less than $15,000."
Gasoline vehicles,CONVERT,16–25% of the energy from gasoline into movement,doc_8,Gasoline vehicles only convert about 16–25% of the energy from gasoline into movement (averaging highway and city driving).
Electric vehicle battery replacements,HAVE,2.5% failure rate,doc_8,"A recent study of about 15,000 vehicles from the earliest models through model year 2023 showed that electric vehicle battery replacements due to failure have been rare, at an average of 2.5%, outside of major recalls."
EVs made from 2016 onward,HAVE,less than a 0.5% failure rate,doc_8,since model year 2016 they have had less than a 0.5% failure rate.
97.5% of EVs,ARE,still using their original batteries,doc_8,this study found that 97.5% of EVs are still using their original batteries (outside major recalls)
Department of Energy’s (DOE) Build a Better Grid Initiative,WILL PROVIDE,$13 billion towards improving the reliability and efficiency of the grid,doc_8,"The Department of Energy’s (DOE) Build a Better Grid Initiative, launched as part of the Bipartisan Infrastructure Law, will provide over $13 billion towards improving the reliability and efficiency of the grid over the next decade."
Most EVs,CAN BE CHARGED WITH,a standard 120 Volt (Level 1) outlet,doc_8,Most EVs can be charged with a standard 120 Volt (Level 1) outlet.
Deloitte,DELIVER,proprietary research,doc_9,Deloitte Insights and our research centers deliver proprietary research designed to help organizations turn their aspirations into action.
China,ANNOUNCED,an additional $378 million investment in charging infrastructure,doc_9,"China has made similar commitments, announcing an additional $378 million investment in charging infrastructure as part of a COVID-19 recovery plan."
EV subsidies and tax break policies,WERE_EXTENDED_TO,2022,doc_9,EV subsidies and tax break policies set to expire in 2020 were extended to 2022 in a direct response to the economic impact of COVID-19.
Electric Vehicle Outlook,IS_ANNUAL_PUBLICATION,2024,doc_10,"The Electric Vehicle Outlook is our annual long-term publication looking at how electrification, shared mobility, autonomous driving and other factors will impact road transport in the coming decades."
China,DOMINATES,global EV market,doc_10,"China still dominates the global EV market, but sales are rising quickly elsewhere too."
EVs of all types,DISPLACE,1.7 million barrels per day of oil usage,doc_10,"EVs of all types are already displacing 1.7 million barrels per day of oil usage, equivalent to about 3% of total road fuel demand."
Battery demand,IS_RISING,quickly,doc_10,Battery demand is rising quickly.
Net Zero scenario,INVESTIGATES,route to carbon neutrality,doc_10,The report includes a “Net Zero” scenario which investigates what a potential route to carbon neutrality looks like across all segments of road transport by 2050.
NVIDIA,INCREASED_DIVIDEND,$0.10 per share,doc_11,NVIDIA is increasing its quarterly cash dividend by 150% from $0.04 per share to $0.10 per share of common stock.
NVIDIA,CONFERENCE_CALL_TIME,2 p.m.,doc_11,NVIDIA will conduct a conference call with analysts and investors to discuss its first quarter fiscal 2025 financial results and current financial prospects today at 2 p.m.
NVIDIA,TRADING_COMMENCEMENT_DATE,"June 10, 2024",doc_11,"Trading is expected to commence on a split-adjusted basis at market open on Monday, June 10, 2024."
NVIDIA,SHAREHOLDER_RECORD_DATE,"June 11, 2024",doc_11,"The increased dividend is equivalent to $0.01 per share on a post-split basis and will be paid on Friday, June 28, 2024, to all shareholders of record on Tuesday, June 11, 2024."
Polestar Automotive Holding UK PLC,REPORTS,"preliminary unaudited financial and operational results for the three and nine months ended September 30, 2023",doc_12,"Polestar Automotive Holding UK PLC (“Polestar” or the “Company,” Nasdaq: PSNY), the Swedish electric performance car brand, reports its preliminary unaudited financial and operational results for the three and nine months ended September 30, 2023."
Revenue,FOR_NINE_MONTHS_ENDED,"1,844.4 million U.S. dollars",doc_12,"The below table summarizes key unaudited financial results for the nine-months ended September 30, 2023:"
Cost of sales,FOR_NINE_MONTHS_ENDED,"(1,823.2) million U.S. dollars",doc_12,"Cost of sales (1,823.2) (1,419.3)"
Gross profit,FOR_NINE_MONTHS_ENDED,21.2 million U.S. dollars,doc_12,Gross profit 21.2 57.5
Operating loss,FOR_NINE_MONTHS_ENDED,(735.0) million U.S. dollars,doc_12,"Operating loss (735.0) (1,081.6)"
Polestar 3 vehicle model,LAUNCHED,in late 2022,doc_12,"The new Polestar 3 vehicle model launched in late 2022, and production is expected to begin in early 2024 and ramp-up during the same year."
VinFast,REVENUE,US$511.6 million,doc_13,"Revenue reached US$511.6 million, up 49.3% year-over-year."
VinFast,DELIVERED_ELECTRIC_VEHICLES,"21,912",doc_13,"In the third quarter of 2024, VinFast delivered 21,912 electric vehicles."
VinFast,DELIVERIES_IN_VIETNAM,"more than 51,000 EVs",doc_13,"bringing total deliveries in Vietnam to more than 51,000 EVs from January 1 to October 31, 2024."
VinFast,DEALER_STORES_IN_PHILIPPINES,eight,doc_13,"As of October 31, VinFast had eight dealer stores in six Philippine cities."
European carmakers,ACCOUNTED_FOR,60% of electric car sales in 2023,doc_15,"In 2023, European carmakers accounted for 60% of electric car sales in the region, compared to over 80% in 2015."
"Volkswagen, Stellantis and BMW",AGGREGATED_TO,45% of European electric car sales in 2023,doc_15,"Volkswagen, Stellantis and BMW aggregated to 45% of European electric car sales in 2023, but competition is getting tougher among front-runners."
Renault-Nissan-Mitsubishi Alliance,ACCOUNTED_FOR,7% of European electric car sales in 2023,doc_15,"Renault-Nissan-Mitsubishi Alliance accounted for nearly 40% of European electric car sales in 2015, but just 7% in 2023."
Ford,ESTIMATES_LOSSES_ON,up to USD 5.5 billion in 2023,doc_15,"Ford estimates losses on EV investments of up to USD 5.5 billion in 2023, and expects even tougher future competition from more affordable Tesla models and Chinese carmakers."
Start-ups developing EV charging technology,ATTRACTED,over USD 400 million in early-stage VC,doc_15,"Start-ups developing EV charging technology attracted over USD 400 million in early-stage VC, and battery and battery component makers USD 260 million, together accounting for half of early-stage VC."
Numbat,RAISED,USD 75 million in series A funding,doc_15,"Similarly, German EV charging start-up Numbat raised USD 75 million in series A funding through the European Infrastructure Fund, as well as another USD 75 million in loans."
Charge Zone,RAISED,nearly USD 55 million,doc_15,Indian start-up Charge Zone also raised nearly USD 55 million to develop nearly 300 charging stations.
Northvolt,RAISED,USD 400 million from Ontario’s asset manager,doc_15,"To support its global expansion, Swedish battery maker Northvolt raised USD 400 million from Ontario’s asset manager, USD 1.2 billion and then another USD 150 million in debt from public Canadian investors and private banks, a USD 740 million grant from the German Government, and a USD 5 billion loan from the European Investment Bank and Nordic Investment Bank."
Mercedes-Benz Cars,ADJUSTED_RETURN_ON_SALES,12.6%,doc_16,"For 2023, Mercedes-Benz Cars delivered an adjusted Return on Sales (RoS) of 12.6%"
Sales of electric vans,INCREASED_BY,51%,doc_16,"With around 22,700 eVans, sales of electric vans increased by 51% in 2023"
electric vehicles (EVs),HELP_IMPROVE,fuel economy,doc_17,"All forms of electric vehicles (EVs) can help improve fuel economy, lower fuel costs, and reduce emissions."
transportation sector,IS_LARGEST_SOURCE_OF,greenhouse gas emissions in the United States,doc_17,The transportation sector is the largest source of greenhouse gas emissions in the United States.
manufacturers of electric vehicles,OFFER,"8-year/100,000-mile battery warranties",doc_17,"Several manufacturers of electric vehicles are offering 8-year/100,000-mile battery warranties."
today’s batteries,MAY_LAST,12 to 15 years in moderate climates,doc_17,Predictive modeling by the National Renewable Energy Laboratory indicates that today’s batteries may last 12 to 15 years in moderate climates (8 to 12 years in extreme climates).
number of publicly accessible charging stations in the United States,REACHED,"more than 60,000 in 2024",doc_17,"The number of publicly accessible charging stations in the United States reached more than 60,000 in 2024, offering more than 162,000 charging ports, according to the Alternative Fueling Station Locator."
transportation sector,ACCOUNTS_FOR,approximately 30% of total U.S.,doc_17,The transportation sector accounts for approximately 30% of total U.S.
all-electric vehicles and PHEVs,HAVE_BENEFIT_OF,flexible charging,doc_17,All-electric vehicles and PHEVs have the benefit of flexible charging because the electric grid is near most locations where people park.
public charging stations,ARE_NOT_AS_UBIQUITOUS_AS,gas stations,doc_17,Public charging stations are not as ubiquitous as gas stations.
Global electric car sales,EXCEEDED,14 million in 2023,doc_18,Global electric car sales exceeded 14 million in 2023
Electric car sales in 2023,WERE,3.5 million higher than in 2022,doc_18,"Electric car sales in 2023 were 3.5 million higher than in 2022, a 35% year-on-year increase."
Electric car sales,REACH,around 65% of total car sales in 2030,doc_18,"In the NZE Scenario, electric car sales reach around 65% of total car sales in 2030."
More than 20 OEMs,REPRESENT,over 90% of car sales in 2023,doc_18,"In total, more than 20 OEMs, together representing over 90% of car sales in 2023, have set some sort of target for future EV deployment."
Manufacturers’ targets on vehicle electrification,COULD BE,between 42% and 58% of car sales in 2030,doc_18,"If all manufacturers’ targets on vehicle electrification are combined, between 42% and 58% of car sales in 2030 could be electric."
REE Automotive Ltd.,FOCUSED_ON,executing milestone deliverables,doc_19,"REE is focused on executing milestone deliverables on its signed strategic collaborations relating to various types of commercial delivery vehicles and people movers, with capabilities to integrate multiple levels of autonomy."
REE,ANNOUNCED,"strategic collaboration with Hitachi America, Ltd.",doc_19,"In December 2021, REE announced a newly-formed strategic collaboration with Hitachi America, Ltd."
REE,AWARDED,$17 million of funding from the UK government,doc_19,"In August 2021, REE announced that its REEcorner™ technology was awarded $17 million of funding from the UK government."
REE,PLANS_TO_OPEN,"Integration Center in Austin, TX",doc_19,"REE is building its first Integration Center and highly automated launch factory in Coventry, UK in 2022, and plans to open an asset-light Integration Center in Austin, TX in 2023."
Nikola Corporation,REPORTS,"financial results and business updates for the quarter ended March 31, 2023",doc_20,"Nikola Corporation (Nasdaq: NKLA), a global leader in zero-emissions transportation solutions, today reported financial results and business updates for the quarter ended March 31, 2023."
California,REQUIRES,"only zero-emission drayage trucks may register in the CARB Online System beginning January 1, 2024",doc_20,"For example, in California, per the California Air Resources Board (CARB) Advanced Clean Fleets regulation summary, beginning January 1, 2024, only zero-emission drayage trucks may register in the CARB Online System."
Nikola,HAS RECEIVED,orders for 140 hydrogen fuel cell trucks from 12 end customers,doc_20,"We are building sales momentum and backlog for the hydrogen fuel cell truck, and as of today orders for 140 hydrogen fuel cell trucks have been received from 12 end customers."
Cox Automotive Dealer Sentiment Index (CADSI),REMAINED_STABLE,Q1 to Q2 2024,doc_21,The latest Cox Automotive Dealer Sentiment Index (CADSI) remained stable from Q1 to Q2 2024 despite dealer uncertainty in the market and economy.
Q2 current market index score,INDICATES,most U.S. auto dealers see the market as weak,doc_21,The Q2 current market index score of 42 indicates most U.S. auto dealers see the market as weak.
used-vehicle sales index,REMAINS_UNDER,50 threshold,doc_21,"Conversely, the used-vehicle sales index remains under the 50 threshold, indicating a weak market."
Sentiment about electric vehicle (EV) sales,FELL_TO,a new low in Q2,doc_21,Sentiment about electric vehicle (EV) sales fell to a new low in Q2.
majority of dealers,SEE,existing tax credits as having a positive impact on EV sales,doc_21,a majority of dealers (with an index score of 57) see the existing tax credits as having a positive impact on EV sales.
Franchised dealers’ view of the economy,HAS_BEEN,consistent for three consecutive quarters,doc_21,"Franchised dealers’ view of the economy, at 46, has been consistent for three consecutive quarters."
Cox Automotive,IS_A_SUBSIDIARY_OF,Cox Enterprises Inc.,doc_21,"Cox Automotive is a subsidiary of Cox Enterprises Inc., a privately owned, Atlanta-based company with $22 billion in annual revenue."
Offer,AVAILABLE_UNTIL,27 February 2025,doc_22,Offer available until 27 February 2025.
FT journalism,PROVIDES_ACCESS_TO,quality FT journalism,doc_22,Complete digital access to quality FT journalism.
FT Digital Edition,DELIVERED_TO,your device Monday-Saturday,doc_22,FT Digital Edition delivered to your device Monday-Saturday.
Readers,PAY_TO_READ,the Financial Times,doc_22,See why over a million readers pay to read the Financial Times.
Pay a year upfront,SAVES,20%,doc_22,Pay a year upfront and save 20%.
Trial,CAN_BE_CANCELED,anytime,doc_22,Cancel anytime during your trial.
Cox Automotive Dealer Sentiment Index (CADSI),SHOWS,automobile dealers in the U.S. continue to view the market as weak.,doc_23,The Q3 2024 Cox Automotive Dealer Sentiment Index (CADSI) shows automobile dealers in the U.S. continue to view the market as weak.
Franchised dealers,SCORED,51 for new-vehicle sales,doc_23,"the sales environment remains muted, with franchised dealers scoring 51 for new-vehicle sales, down from 59 in Q3 2023."
Overall used-vehicle sales index,WAS,43 in Q3,doc_23,"The overall used-vehicle sales index (combined franchise and independent) was 43 in Q3, a level suggesting dealers view the market as poor, not good."
Expectations for future EV sales,FELL,to 37 from 39,doc_23,"Expectations for future EV sales, however, fell in Q3, dropping to 37 from 39."
Political Climate,WAS,the highest percentage recorded for Political Climate since the factor was added in 2019.,doc_23,The 44% in Q3 is the highest percentage recorded for Political Climate since the factor was added in 2019.
Cox Enterprises Inc.,HAS,$22 billion in annual revenue,doc_23,"Cox Automotive is a subsidiary of Cox Enterprises Inc., a privately owned, Atlanta-based company with $22 billion in annual revenue."
Q3 2024 CADSI,IS BASED ON,933 U.S. auto dealer respondents,doc_23,"The Q3 2024 CADSI is based on 933 U.S. auto dealer respondents, comprising 536 franchised dealers and 397 independents."
electric vehicle industry,EXPERIENCED,massive increases in government subsidies,doc_24,"Over the past few years, the electric vehicle industry has experienced massive increases in government subsidies, consumer sentiment, and popularity."
federal government,OFFERS,"US$7,500 tax credit",doc_24,"the federal government boosts demand for electric vehicles by offering a US$7,500 tax credit on electric vehicle purchases"
Biden administration,PROMISED,US$400 billion investment into clean energy,doc_24,"These large subsidies are expected to increase under the Biden administration, which recently promised a US$400 billion investment into clean energy."
Biden’s plan,INCLUDES,"building at least 500,000 charging stations by 2030",doc_24,"Part of Biden’s plan includes the EV industry and a promise to build at least 500,000 charging stations by 2030 from the 29,000 stations that exist today."
Deloitte survey,INCLUDED,"1,500 individuals",doc_24,"In a survey of 1,500 individuals by Deloitte, 68 percent of respondents were very concerned about their carbon footprint."
Tesla,TRAVELED,"over 400,000 miles",doc_24,"Some Teslas have traveled over 400,000 miles with little to no issues in regard to their performance."
Workhorse,REACHED,"gains as high as 1,000 percent",doc_24,"Workhorse has reached gains as high as 1,000 percent at certain points in the year."
US,TARGET_KEY_ADVANCED_TECHNOLOGIES,semiconductors,doc_25,targeting key advanced technologies such as semiconductors.
US,RAISE_COMPLIANCE_BURDENS,multinational companies operating in China,doc_25,"The new mechanism, probably deployed via executive order by the US president, Joe Biden, will raise compliance burdens for multinational companies operating in China."
IRA,INCLUDES_FISCAL_SUPPORT,onshore cultivation of climate-friendly industries,doc_25,"The first move was the passage of the US$740bn Inflation Reduction Act (IRA) in August 2022, which includes significant fiscal support for the onshore cultivation of climate-friendly industries."
"Krane Funds Advisors, LLC",IS_THE_INVESTMENT_MANAGER_FOR,KraneShares ETFs,doc_26,"Krane Funds Advisors, LLC is the investment manager for KraneShares ETFs."
China,IS_ESTIMATED_TO_ACCOUNT_FOR,about 10 million of the EVs sold globally,doc_26,"Most of the sales are expected to be in China, which is estimated to account for about 10 million of the EVs sold globally."
US,IS_EXPECTED_TO_SELL,nearly 2 million EVs,doc_26,"The US is expected to sell nearly 2 million EVs, representing more modest growth over 2023."
Tesla's P/S,HAS_DECLINED_FROM,10 to 6,doc_26,"Meanwhile, Tesla's P/S has declined from 10 to 6 after a recent earnings miss."
Lithium-Ion Phosphate (LFP),REACHED_AN_ESTIMATED,46% of the total market share,doc_26,"Lithium-Ion Phosphate (LFP) share versus Nickel-based chemistries continues to rise, reaching an estimated 46% of the total market share."
Battery company stocks,SUFFERED_IN,2023,doc_26,Battery company stocks suffered in 2023 despite significantly lower metal prices due to lower-than-expected demand for EVs.
The Joint Office of Energy and Transportation,IS_PARTNER_IN,government to accelerate zero-emission fueling and transportation projects,doc_27,The Joint Office of Energy and Transportation (Joint Office) is your partner in government to accelerate zero-emission fueling and transportation projects and bring energy innovation to life.
The Joint Office,HAS_ESTABLISHED,standards and frameworks for the electric vehicle (EV) charging industry,doc_27,"In addition to funding opportunities, the Joint Office has established the standards and frameworks for the electric vehicle (EV) charging industry to innovate on a secure, interoperable foundation and move forward with confidence in the longevity of their investments."
Government funding,COMPLEMENTS,private investment,doc_27,"Government funding complements private investment, filling in gaps in the national charging network to make it easy for everyone to choose to ride and drive electric."
Public sector support,IS_CRUCIAL_FOR,curbside Level 2 charging,doc_27,Public sector support for approaches such as curbside Level 2 charging is crucial to give more mobility choices to people who can’t access charging at home.
Private sector companies,ARE_INVITED_TO,bid into the National Electric Vehicle Infrastructure (NEVI) Formula Program,doc_27,Private sector companies are invited to bid into the National Electric Vehicle Infrastructure (NEVI) Formula Program and Charging and Fueling Infrastructure Program opportunities released by states and communities.
The Joint Office,SUPPORTS,zero-emission transit and school buses,doc_27,The Joint Office also supports zero-emission transit and school buses.
The Joint Office,REGULARLY_CONVENES,the National Charging Experience (ChargeX) Consortium and Electric Vehicle Working Group (EVWG),doc_27,"To facilitate public and private sector communication about zero-emission technology trends, opportunities, and challenges, the Joint Office regularly convenes the National Charging Experience (ChargeX) Consortium and Electric Vehicle Working Group (EVWG)."
The Joint Office,DEVELOPS,strategic frameworks such as the National Zero-Emission Freight Corridor Strategy,doc_27,The Joint Office also develops strategic frameworks such as the National Zero-Emission Freight Corridor Strategy to align public and private sector investment in the future of transportation.
Deloitte,DELIVER,proprietary research,doc_28,Deloitte Insights and our research centers deliver proprietary research designed to help organizations turn their aspirations into action.
China,ANNOUNCED,an additional $378 million investment in charging infrastructure,doc_28,"China has made similar commitments, announcing an additional $378 million investment in charging infrastructure as part of a COVID-19 recovery plan."
EV subsidies and tax break policies,WERE_EXTENDED_TO,2022,doc_28,EV subsidies and tax break policies set to expire in 2020 were extended to 2022 in a direct response to the economic impact of COVID-19.
EV sales,HAVE_HELD_UP_WELL_IN_COMPARISON_TO,internal combustion engine (ICE) equivalents,doc_28,EV sales have held up well in comparison to their internal combustion engine (ICE) equivalents.
The Joint Office of Energy and Transportation,IS_PARTNER_IN,government to accelerate zero-emission fueling and transportation projects,doc_29,The Joint Office of Energy and Transportation (Joint Office) is your partner in government to accelerate zero-emission fueling and transportation projects and bring energy innovation to life.
The Joint Office,HAS_ESTABLISHED,standards and frameworks for the electric vehicle (EV) charging industry,doc_29,"In addition to funding opportunities, the Joint Office has established the standards and frameworks for the electric vehicle (EV) charging industry to innovate on a secure, interoperable foundation and move forward with confidence in the longevity of their investments."
Government funding,COMPLEMENTS,private investment,doc_29,"Government funding complements private investment, filling in gaps in the national charging network to make it easy for everyone to choose to ride and drive electric."
Public sector support,IS_CRUCIAL_FOR,curbside Level 2 charging,doc_29,Public sector support for approaches such as curbside Level 2 charging is crucial to give more mobility choices to people who can’t access charging at home.
Private sector companies,ARE_INVITED_TO_BID_INTO,the National Electric Vehicle Infrastructure (NEVI) Formula Program,doc_29,Private sector companies are invited to bid into the National Electric Vehicle Infrastructure (NEVI) Formula Program and Charging and Fueling Infrastructure Program opportunities released by states and communities.
The Joint Office,SUPPORTS,zero-emission transit and school buses,doc_29,The Joint Office also supports zero-emission transit and school buses.
The Joint Office,REGULARLY_CONVENES,the National Charging Experience (ChargeX) Consortium and Electric Vehicle Working Group (EVWG),doc_29,"To facilitate public and private sector communication about zero-emission technology trends, opportunities, and challenges, the Joint Office regularly convenes the National Charging Experience (ChargeX) Consortium and Electric Vehicle Working Group (EVWG)."
The Joint Office,DEVELOPS,strategic frameworks such as the National Zero-Emission Freight Corridor Strategy,doc_29,The Joint Office also develops strategic frameworks such as the National Zero-Emission Freight Corridor Strategy to align public and private sector investment in the future of transportation.
Cox Automotive,ANTICIPATED,EV sales in the US would surpass the 1 million mark,doc_30,"In early 2023, Cox Automotive anticipated that EV sales in the US would surpass the 1 million mark, a prediction that materialized by the year's end."
United States,BOASTED,"around 136,000 EV charging ports",doc_30,"As of the close of 2022, the United States boasted around 136,000 EV charging ports."
ChargePoint,IS_MANAGING,"over 61,000 charging ports",doc_30,"Currently, ChargePoint is managing over 61,000 charging ports spread across 34,000 locations in the US."
President Donald Trump,DECLARED_INTENTION_TO,dismantle the eco-friendly policies of the Biden administration,doc_31,"President Donald Trump declared his intention to dismantle the eco-friendly policies of the Biden administration, known as the Green New Deal."
Investor sentiment,TOOK_DOWNTURN,immediate market reaction,doc_31,The immediate market reaction to President Trump's statements was stark.
EcoPro BM,CLOSED_AT,"126,100 won",doc_31,"EcoPro BM closed at 126,100 won, down 11,900 won (-8.62%) from the previous trading day."
Kosdaq-listed companies,EXPERIENCED_DECLINES,significant declines,doc_31,The broader market for secondary battery-related companies also experienced significant declines.
The electric vehicle market,BENEFITED_FROM,government incentives like tax credits and subsidies,doc_31,"The electric vehicle market, which has been growing rapidly, benefited from government incentives like tax credits and subsidies."
The potential withdrawal of support for electric vehicles,AFFECTS,the secondary battery industry,doc_31,The potential withdrawal of support for electric vehicles not only affects the secondary battery industry but also has broader implications for the automotive manufacturing and renewable energy sectors.
Global penetration,IS_SEEN_RISING,to 13% this year from 12% in 2023,doc_32,Global penetration is seen rising to 13% this year from 12% in 2023.
China,WILL_HAVE,stronger demand growth for plug-in hybrid electric vehicles (PHEVs) through 2026,doc_32,"the authors remain constructive on BEV sales growth through 2030, but note that through 2026 demand growth will likely be stronger for plug-in hybrid electric vehicles (PHEVs)."
2024 EV sales forecasts,FORECAST,"1.47 million units of new EV sales, or 9.1% penetration",doc_32,"Applying the matrix to their 2024–25 EV sales forecasts, the authors forecast 1.47 million units of new EV sales, or 9.1% penetration in 2024."
2025 EV sales forecast,IS_FOR,"2.34 million units, or 13.8% penetration",doc_32,"For 2025, the forecast is for 2.34 million units, or 13.8% penetration."
Electric Vehicle (EV) market,EXPECTED_TO_TAKE_OFF,2022,doc_33,"The Electric Vehicle (EV) market is expected to really take off in 2022, driven by innovation in battery manufacturing."
6.3M vehicles,SOLD_GLOBALLY_IN,2021,doc_33,"6.3M vehicles have been sold globally in 2021, almost twice as much as in 2020."
China,EXHIBITED_GROWTH_OF,154%,doc_33,China exhibited a 154% growth compared to last year with more than 3 millions vehicles sold vs.
IDTechEx,PREDICTS_INCREASE_IN_BEV_PHEV_SALES_BY,9.6-fold,doc_33,In total IDTechEx predicts a 9.6-fold increase in BEV & PHEV car sales by 2031 compared to 2020.
Silicon demand,EXPECTED_TO_SURGE_BY,over 100×,doc_33,IDTechEx forecast silicon demand to surge by over 100× by 2031.
